Language name,Alternate language names,Country,Region,Resource Title,Resource URL,"Resource type (please only choose from the dropdown list, don't type anything here!)",
Louisiana Creole,"kréyol la lwizyàn, Kouri-Vini",US,North America,Prevention poster,https://www.academia.edu/42268367/Koronaviris_COVID-19_Komen_prot%C3%A9j%C3%A9_to-minm_US_CDC_20_mars_2020_?fbclid=IwAR2MdY6M5cShRJHoKntOgLlZwrWlfyDkFcFqbavpwe2MR8uJjassrG7vqhY,Image/poster,
Louisiana Creole,"kréyol la lwizyàn, Kouri-Vini",US,North America,Informational video,https://www.facebook.com/watch/?v=2588764751366535,Video,
Low Franconian,"Neerfränkesch, Nederfrankisch, Niederfränkisch, Bas Francique, Low Frankish","Netherlands, Belgium, Germany, France",Europe,WHO myth busters information page,https://covid-no-mb.org/?page_id=2059,Web page,
Low German,"Saxon, Plattdütsch","Germany, Netherlands",Europe,Symptoms and fact sheet,https://wearldsproake.nl/2020/03/18/dit-sint-de-verskynselen-van-et-koronavirus/?fbclid=IwAR14q2qS66GCvz-EaRAPnQe4qKcbKYDBGK8Wix7B3s-R-dz_qXusE3msM54,Document,
Luganda,"Ganda, Oluganda",Uganda,Africa,COVID-19 emergency signs from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Emergency-Luganda.pdf,Document,
Luganda,"Ganda, Oluganda",Uganda,Africa,General info for Indigenous elders from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Elders-Luganda.pdf,Document,
Luganda,"Ganda, Oluganda",Uganda,Africa,Traveling to cities info sheet from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Luganda-Travel.pdf,Document,
Luganda,"Ganda, Oluganda",Uganda,Africa,Info for Indigenous children & youth from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Luganda-Kids.pdf,Document,
Luganda ,"Ganda, Oluganda",Uganda,Africa,COVID-19 vaccine information for adults in Luganda,http://www.healthscotland.com/documents/51512.aspx,Web page,
Luhya,"Oluluhya, Luyia",Kenya,Africa,Symptoms and prevention infographic,https://www.facebook.com/204691779966932/photos/a.809690966133674/922464851522951/?type=3&theater,Image/poster,
Lule Saami,"Lulesamisk, julevsámegiella","Sweden, Norway",Europe,NIPH fact sheet,https://www.fhi.no/contentassets/37298bcaf6724377b68018cfd7db4309/vedlegg/lulesamisk_generell-informasjon-korona.pdf?fbclid=IwAR3JzvL1D7DTaGNpSO4HvfFvX_xahgt4EGB2QmJaiGTM8emUoZ5yyB6i-es,Document,
Lule Saami,"Lulesamisk, julevsámegiella","Sweden, Norway",Europe,Folkhälsomyndigheten (Swedish Public Health Authority) fact sheet,https://www.folkhalsomyndigheten.se/contentassets/a3ef104aac204dac8370b26574a8d543/faktablad-covid-19-lulesamiska.pdf?fbclid=IwAR2saN1BZqeTa7cADxGRLkRVi4HzZH7oR5Rf9wjhJjZINRrbvTMaq52BdrU,Document,
Lule Saami,"Lulesamisk, julevsámegiella","Sweden, Norway",Europe,Helsedirektoratet (Norwegian Public Health Authority) prevention poster,https://www.helsedirektoratet.no/tema/beredskap-og-krisehandtering/koronavirus/plakater-og-informasjonsmateriell/20200324_hygieneplakat_lulesamisk.pdf/_/attachment/inline/f63cf7c7-c006-47d9-8cde-18648d372bfa:b83650d6d32f6355c20fc2ae2d3376fdbfc2e005/20200324_hygieneplakat_lulesamisk.pdf,Document,
Lule Saami,"Lulesamisk, julevsámegiella","Sweden, Norway",Europe,General information page,https://www.hamaroy.kommune.no/koronaviruset-paa-lulesamisk.524336.no.html,Web page,
Lunda,Chilunda,"Zambia, Angola, DR Congo",Africa,COVID-19 emergency signs from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Emergency-Lunda.pdf,Document,
Lunda,Chilunda,"Zambia, Angola, DR Congo",Africa,General info for Indigenous elders from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Elders-Lunda.pdf,Document,
Lunda,Chilunda,"Zambia, Angola, DR Congo",Africa,Traveling to cities info sheet from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Lunda-Travel.pdf,Document,
Luo,Lwo,"Kenya, Tanzania, South Sudan, Sudan, Ethiopia",Africa,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_luo,Audio,
Luo,Lwo,"Kenya, Tanzania, South Sudan, Sudan, Ethiopia",Africa,"Symptoms infographic, Dholuo variety",https://www.facebook.com/204691779966932/photos/a.809690966133674/924313774671392/?type=3,Image/poster,
Luo,Lwo,"Kenya, Tanzania, South Sudan, Sudan, Ethiopia",Africa,"Prevention infographic, Dholuo variety",https://www.facebook.com/204691779966932/photos/pcb.927927417643361/927927387643364/?type=3&theater,Image/poster,
Luri,لۊری,"Iran, Iraq",Near East,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=lrc-000,Image/poster,
Luritja,,Australia,Australia,Wash your hands,https://www.youtube.com/watch?v=YmMJVzeiNJo&feature=youtu.be,Video,
Luxembourgish,"Lëtzebuergesch, Letzeburgesch, Luxemburgish","Luxembourg, Germany, Belgium, France",Europe,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=ltz-000,Image/poster,
M'mockmbie,Mmuock,Cameroon,Africa,Coronavirus symptoms explained in M'mockmbie (Cameroon),https://youtu.be/J3i1xTNTS1E,Video,
M'mockmbie,Mmuock,Cameroon,Africa,Coronavirus prevention explained in M'mockmbie (Cameroon),https://youtu.be/xy0RD3DnQxY,Video,
Maasai,Maa,"Kenya, Tanzania",Africa,COVID-19 emergency signs from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Emergency-Maasai-.pdf,Document,
Maasai,Maa,"Kenya, Tanzania",Africa,General info for Indigenous elders from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Elders-Maasai.pdf,Document,
Maasai,Maa,"Kenya, Tanzania",Africa,Traveling to cities info sheet from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Maasai-Travel.pdf,Document,
Maasai,Maa,"Kenya, Tanzania",Africa,Info for Indigenous children & youth from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Maasai-Kids.pdf,Document,
Maasai,Maa,"Kenya, Tanzania",Africa,Cultural Survival awareness audio message,https://soundcloud.com/culturalsurvival/covid-19-awareness,Audio,
Maasai,Maa,"Kenya, Tanzania",Africa,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-maasai,Audio,
Maasai,Maa,"Kenya, Tanzania",Africa,Symptoms and prevention infographic,https://www.facebook.com/204691779966932/photos/a.809690966133674/922464748189628/?type=3&theater,Image/poster,
Maay Maay,"Mai-mai, Af-maymay ","Somalia, Ethiopia, Kenya",Africa,Information in Maay Maay,https://vermontforall.com/maaymaay,Web page,
Maay Maay,"Mai-mai, Af-maymay","Somalia, Ethiopia, Kenya",Africa,"Information video from City of Lewiston, ME",https://www.youtube.com/watch?v=bk5GPk4-imA,Video,
Maay Maay,"Mai-mai, Af-maymay","Somalia, Ethiopia, Kenya",Africa,Information video from Valleywise Health Clinic,https://youtu.be/OvWH-cejvfM,Video,
Macedonian,"македонски, makedonski","North Macedonia, Albania, Bulgaria, Greece, Romania, Serbia",Europe,SBS Australia information page,https://www.sbs.com.au/language/macedonian/coronavirus-updates,Web page,
Machiguenga,Matsigenka,Peru,South America,Prevention infographic,https://www.facebook.com/malcridas/photos/pcb.2820790881371416/2820787461371758/?type=3&theater,Image/poster,
Madura Pamekasan,Pamekasan dialect of Madurese,Indonesia,Southeast Asia,Informasi mendasar tentang virus Corona dijelaskan dalam Madura Pamekasan (Indonesia),https://youtu.be/SE8A2-rHpd0 ,Video,
Madura Sampang,Sampang dialect of Madurese (https://glottolog.org/resource/languoid/id/nucl1460) ,Indonesia,Southeast Asia,Informasi mendasar tentang virus Corona dijelaskan dalam Madura Sampang (Indonesia),https://youtu.be/Sjk7q0fKy-A,Video,
Mafa,,"Cameroon, Nigeria",Africa,Information audio from VirALLanguages,https://archive.org/download/virALLanguages_Mafa_V3_2/virALLanguages_Mafa_audioOK.ogg,Audio,
Mafa,,"Cameroon, Nigeria",Africa,Information video from VirALLanguages,https://www.youtube.com/watch?v=I1wqxDGtDSs,Video,
Mag-Indi Ayta,,Philippines,Southeast Asia,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=blx-000,Image/poster,
Maguindanaon,,Philippines,Southeast Asia,Information and prevention posters,https://drive.google.com/open?id=16kXbJkCIqK9KaHkiOHID3AjoLIhYl3K1,Image/poster,
Maiadomu,,Papua New Guinea,Pacific,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=mzz-000,Image/poster,
Maithili,"मैथिली, মৈথিনী, Maithali","India, Nepal",South Asia,COVID-19 emergency signs from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Emergency-Maithali.pdf,Document,
Maithili,"मैथिली, মৈথিনী, Maithali","India, Nepal",South Asia,General info for Indigenous elders from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Elders-Maithali.pdf,Document,
Maithili,"मैथिली, মৈথিনী, Maithali","India, Nepal",South Asia,Traveling to cities info sheet from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Maithali-Travel.pdf,Document,
Maithili,"मैथिली, মৈথিনী, Maithali","India, Nepal",South Asia,Info for Indigenous children & youth from Translations 4 Our Nations,https://www.translations4ournations.org/wp-content/uploads/Maithali-Kids.pdf,Document,
Maithili,"मैथिली, মৈথিনী, Maithali","India, Nepal",South Asia,WHO myth busters information page,https://covid-no-mb.org/?page_id=1891,Web page,
Makassar,,Indonesia,Southeast Asia,Informasi mendasar tentang virus Corona dijelaskan dalam Bahasa Makassar (Indonesia),https://youtu.be/j9K3QTBIGDM,Video,
Makushi,"Macuxi, Makusi, Macusi, Macussi, Teweya or Teueia",Brazil,South America,Ivo Macuxi dá dicas de como se proteger e evitar a propagação da covid-19,https://www.youtube.com/watch?v=soQh22tLF3U,Video,
Malagasy,,Madagascar,Africa,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=plt-000,Image/poster,
